t,x,y
0.000,-2.0050,-0.5342
0.800,-2.0245,-0.5479
1.600,-2.0375,-0.5203
2.400,-2.0387,-0.5456
3.200,-2.0296,-0.5387
4.000,-2.0139,-0.5490
4.800,-2.0176,-0.5372
5.600,-2.0179,-0.5550
6.400,-2.0217,-0.5387
11.600,-1.8404,-0.5202
12.400,-1.6729,-0.5365
13.200,-1.5024,-0.5428
14.000,-1.3444,-0.5425
14.800,-1.1843,-0.5514
15.600,-1.0102,-0.5708
16.400,-0.8504,-0.5603
17.800,-0.7054,-0.5577
18.200,-0.6210,-0.5423
18.600,-0.5648,-0.5006
19.000,-0.5206,-0.4388
19.400,-0.4917,-0.3527
20.000,-0.4801,-0.2434
20.800,-0.4927,-0.0800
21.600,-0.5226,0.0725
22.400,-0.5358,0.2447
23.200,-0.5582,0.3969
24.000,-0.5684,0.5656
24.800,-0.5724,0.7308
25.600,-0.5727,0.8831
26.400,-0.5793,1.0299
27.200,-0.5995,1.1798
28.000,-0.5932,1.3467
28.800,-0.5943,1.4934
30.000,-0.5907,1.6347
31.200,-0.5782,1.6374
31.600,-0.5822,1.6370
32.000,-0.5837,1.6315
32.400,-0.5888,1.6328
32.800,-0.6032,1.6318
33.200,-0.5977,1.6321
33.600,-0.6037,1.6352
34.000,-0.5964,1.6347
34.400,-0.5950,1.6383
34.800,-0.6005,1.6395
35.200,-0.6134,1.6362
35.600,-0.6120,1.6356
36.000,-0.6166,1.6358
36.400,-0.6147,1.6550
36.800,-0.6163,1.6605
37.200,-0.6344,1.6300
37.600,-0.6198,1.6317
38.000,-0.6358,1.6353
38.400,-0.6270,1.6399
38.800,-0.6142,1.6469
39.200,-0.6438,1.6463
39.600,-0.6341,1.6517
40.000,-0.6224,1.6561
41.200,-0.4877,1.7581
42.000,-0.3069,1.8138
42.800,-0.1366,1.8366
43.600,0.0511,1.8353
44.400,0.2240,1.8274
45.200,0.3980,1.8115
46.000,0.5470,1.7912
46.800,0.7341,1.7506
47.600,0.9010,1.7059
48.400,1.0650,1.6511
49.200,1.2167,1.5791
50.200,1.3898,1.4814
51.200,1.5611,1.3719
53.000,1.6853,1.2994
53.400,1.6782,1.3061
54.600,1.7003,1.3055
55.400,1.6860,1.3142
56.000,1.6966,1.3364
56.200,1.7146,1.3327
57.400,1.7356,1.3416
58.200,1.7465,1.3336
58.800,1.7437,1.3358
59.400,1.7662,1.3292
60.400,1.7653,1.3300
61.600,1.7502,1.3432
62.000,1.7486,1.3667
62.400,1.7435,1.3681
62.800,1.7534,1.3526
63.200,1.7555,1.3438
63.600,1.7596,1.3420
64.000,1.7600,1.3368
64.400,1.7554,1.3526
64.800,1.7506,1.3637
65.200,1.7504,1.3672
65.600,1.7465,1.3725
66.000,1.7422,1.3785
66.400,1.7407,1.3787
66.800,1.7534,1.3689
67.200,1.7668,1.3728
67.600,1.7568,1.3738
68.000,1.7632,1.3696
68.400,1.7634,1.3652
69.600,1.7860,1.2107
70.400,1.7913,1.0481
71.200,1.7854,0.8788
72.000,1.7593,0.6864
72.800,1.7436,0.5234
73.600,1.7281,0.3423
74.400,1.7182,0.1752
75.200,1.7228,0.0007
76.000,1.7318,-0.1544
77.000,1.7581,-0.3146
78.200,1.7714,-0.4024
78.600,1.7750,-0.4277
79.200,1.7762,-0.4265
80.000,1.7689,-0.4150
81.600,1.7592,-0.4134
82.000,1.7534,-0.4158
82.400,1.7555,-0.4145
82.800,1.7423,-0.4088
83.200,1.7366,-0.4164
83.600,1.7440,-0.4101
84.000,1.7388,-0.4106
84.400,1.7422,-0.4040
84.800,1.7433,-0.4041
85.200,1.7444,-0.4180
85.600,1.7513,-0.4478
86.000,1.7416,-0.4322
86.400,1.7440,-0.4418
86.800,1.7405,-0.4317
87.200,1.7582,-0.4249
87.600,1.7489,-0.4227
88.000,1.7446,-0.4201
88.400,1.7503,-0.4203
88.800,1.7529,-0.4156
89.200,1.7567,-0.4160
89.600,1.7560,-0.4155
90.000,1.7588,-0.4035
90.400,1.7624,-0.4049
90.800,1.7567,-0.4254
91.200,1.7632,-0.4124
91.600,1.7520,-0.4104
92.000,1.7462,-0.4221
92.400,1.7256,-0.4029
92.800,1.7300,-0.3977
