t,x,y
0.000,-2.0150,-0.5500
0.101,-1.9800,-0.5500
0.201,-1.9450,-0.5500
0.301,-1.9100,-0.5500
0.401,-1.8750,-0.5500
0.501,-1.8400,-0.5500
0.602,-1.8050,-0.5500
0.702,-1.7700,-0.5500
0.802,-1.7350,-0.5500
0.902,-1.7000,-0.5500
1.003,-1.6650,-0.5500
1.103,-1.6300,-0.5500
1.204,-1.5950,-0.5500
1.305,-1.5600,-0.5500
1.405,-1.5250,-0.5500
1.506,-1.4900,-0.5500
1.606,-1.4550,-0.5500
1.708,-1.4200,-0.5500
1.809,-1.3850,-0.5500
1.911,-1.3500,-0.5500
2.012,-1.3150,-0.5500
2.113,-1.2800,-0.5500
2.214,-1.2450,-0.5500
2.314,-1.2100,-0.5500
2.415,-1.1750,-0.5500
2.516,-1.1400,-0.5500
2.617,-1.1050,-0.5500
2.718,-1.0700,-0.5500
2.819,-1.0350,-0.5500
2.921,-1.0000,-0.5500
3.022,-0.9650,-0.5500
3.123,-0.9300,-0.5500
3.224,-0.8950,-0.5500
3.326,-0.8600,-0.5500
3.427,-0.8250,-0.5500
3.528,-0.7900,-0.5500
3.630,-0.7550,-0.5500
3.731,-0.7200,-0.5500
3.833,-0.6850,-0.5500
3.934,-0.6500,-0.5500
4.036,-0.6150,-0.5500
4.138,-0.5800,-0.5500
4.239,-0.5500,-0.5500
4.245,-0.5500,-0.5150
4.345,-0.5500,-0.4800
4.445,-0.5500,-0.4450
4.546,-0.5500,-0.4100
4.646,-0.5500,-0.3750
4.746,-0.5500,-0.3400
4.846,-0.5500,-0.3050
4.947,-0.5500,-0.2700
5.047,-0.5500,-0.2350
5.147,-0.5500,-0.2000
5.247,-0.5500,-0.1650
5.348,-0.5500,-0.1300
5.448,-0.5500,-0.0950
5.548,-0.5500,-0.0600
5.648,-0.5500,-0.0250
5.749,-0.5500,0.0100
5.849,-0.5500,0.0450
5.949,-0.5500,0.0800
6.049,-0.5500,0.1150
6.150,-0.5500,0.1500
6.250,-0.5500,0.1850
6.350,-0.5500,0.2200
6.450,-0.5500,0.2550
6.551,-0.5500,0.2900
6.651,-0.5500,0.3250
6.751,-0.5500,0.3600
6.851,-0.5500,0.3950
6.951,-0.5500,0.4300
7.052,-0.5500,0.4650
7.152,-0.5500,0.5000
7.252,-0.5500,0.5350
7.352,-0.5500,0.5700
7.453,-0.5500,0.6050
7.553,-0.5500,0.6400
7.653,-0.5500,0.6750
7.753,-0.5500,0.7100
7.854,-0.5500,0.7450
7.954,-0.5500,0.7800
8.054,-0.5500,0.8150
8.154,-0.5500,0.8500
8.255,-0.5500,0.8850
8.355,-0.5500,0.9200
8.455,-0.5500,0.9550
8.555,-0.5500,0.9900
8.656,-0.5500,1.0250
8.756,-0.5500,1.0600
8.856,-0.5500,1.0950
8.956,-0.5500,1.1300
9.056,-0.5500,1.1650
9.157,-0.5500,1.2000
9.257,-0.5500,1.2350
9.357,-0.5500,1.2700
9.457,-0.5500,1.3050
9.557,-0.5500,1.3400
9.658,-0.5500,1.3750
9.758,-0.5500,1.4100
9.858,-0.5500,1.4450
9.958,-0.5500,1.4800
10.058,-0.5500,1.5150
10.159,-0.5500,1.5500
10.259,-0.5500,1.5850
10.359,-0.5500,1.6200
10.459,-0.5500,1.6550
10.559,-0.5500,1.6900
10.660,-0.5500,1.7250
10.760,-0.5500,1.7600
10.860,-0.5500,1.7950
10.960,-0.5500,1.8000
20.971,-0.5500,1.7650
21.072,-0.5500,1.7300
21.173,-0.5500,1.6950
21.274,-0.5500,1.6600
21.374,-0.5500,1.6250
21.475,-0.5500,1.5900
21.575,-0.5500,1.5550
21.677,-0.5500,1.5200
21.778,-0.5500,1.4850
21.879,-0.5500,1.4500
21.980,-0.5500,1.4150
22.082,-0.5500,1.3800
22.183,-0.5500,1.3450
22.285,-0.5500,1.3100
22.386,-0.5500,1.2750
22.486,-0.5500,1.2400
22.587,-0.5500,1.2050
22.689,-0.5500,1.1700
22.791,-0.5500,1.1350
22.893,-0.5500,1.1000
22.995,-0.5500,1.0650
23.096,-0.5500,1.0300
23.198,-0.5500,0.9950
23.300,-0.5500,0.9600
23.401,-0.5500,0.9250
23.503,-0.5500,0.8900
23.604,-0.5500,0.8550
23.706,-0.5500,0.8200
23.807,-0.5500,0.7850
23.909,-0.5500,0.7500
24.011,-0.5500,0.7150
24.112,-0.5500,0.6800
24.213,-0.5500,0.6450
24.315,-0.5500,0.6100
24.416,-0.5500,0.5750
24.517,-0.5500,0.5400
24.619,-0.5500,0.5050
24.720,-0.5500,0.4700
24.821,-0.5500,0.4350
24.922,-0.5500,0.4000
25.023,-0.5500,0.3650
25.124,-0.5500,0.3300
25.224,-0.5500,0.2950
25.325,-0.5500,0.2600
25.426,-0.5500,0.2250
25.528,-0.5500,0.1900
25.629,-0.5500,0.1550
25.730,-0.5500,0.1200
25.831,-0.5500,0.0850
25.932,-0.5500,0.0500
26.033,-0.5500,0.0150
26.135,-0.5500,-0.0200
26.236,-0.5500,-0.0550
26.337,-0.5500,-0.0900
26.439,-0.5500,-0.1250
26.541,-0.5500,-0.1600
26.642,-0.5500,-0.1950
26.744,-0.5500,-0.2300
26.845,-0.5500,-0.2650
26.946,-0.5500,-0.3000
27.048,-0.5500,-0.3350
27.150,-0.5500,-0.3700
27.252,-0.5500,-0.4050
27.353,-0.5500,-0.4400
27.455,-0.5500,-0.4750
27.556,-0.5500,-0.5100
27.657,-0.5500,-0.5450
27.759,-0.5500,-0.5500
27.769,-0.5150,-0.5500
27.870,-0.4800,-0.5500
27.971,-0.4450,-0.5500
28.073,-0.4100,-0.5500
28.174,-0.3750,-0.5500
28.276,-0.3400,-0.5500
28.377,-0.3050,-0.5500
28.478,-0.2700,-0.5500
